business_id,business_name,business_url,location,is_business_closed,year_established,overall_rating,num_reviews,menu_url,menu_items_scraped_flag,price_range,phone_number,num_reviews_5_stars,num_reviews_4_stars,num_reviews_3_stars,num_reviews_2_stars,num_reviews_1_star,address_line1,city,region_code,postal_code,country_code,categories,top_food_items,monthly_ratings_by_year
ntLthO5cQDnwn-vKiT3WxA,Zaytune Mediterranean Grill,/biz/zaytune-mediterranean-grill-chicago-4,"Chicago, IL",0,2009,4,436,/menu/zaytune-mediterranean-grill-chicago-4,0,$11-30,(773) 254-6300,196,141,41,23,35,3129 S Morgan St,Chicago,IL,60608,US,{Mediterranean},"{roasted red pepper hummus,grilled chicken shawarma wrap,lentil soup,grilled chicken shawarma platter,grilled steak shawarma wrap,grilled chicken breast wrap,baba ganoush,walnut baklava}","{""2016"": [[0, 3.5], [1, 3.5], [2, 4.5], [3, 4], [4, 3.5], [5, 3.5], [6, 4], [7, 4], [8, 3.5], [9, 3.5], [10, 4], [11, 4]], ""2017"": [[0, 4], [1, 3], [2, 3], [3, 3], [4, 3], [5, 3], [6, 3.5], [7, 3], [8, 3], [9, 3], [10, 4], [11, 3.5]], ""2018"": [[0, 4], [1, 3.5], [2, 3.5], [3, 3.5], [4, 3.5], [5, 4], [6, 4.5], [7, 4.5], [8, 4.5], [9, 4], [10, 4], [11, 4]], ""2019"": [[0, 4], [1, 3.5], [2, 3.5], [3, 3], [4, 3.5], [5, 3.5], [6, 3.5], [7, 3.5], [8, 3.5], [9, 3.5], [10, 3.5], [11, 3.5]], ""2020"": [[0, 3.5], [1, 3.5], [2, 3.5], [3, 3.5], [4, 3.5], [5, 3.5], [6, 3.5], [7, 4.5], [8, 4], [9, 4]]}"
_d5Br6nZWpBNwL-4isroJA,Yuzu Sushi & Robata Grill,/biz/yuzu-sushi-and-robata-grill-chicago,"Chicago, IL",0,2011,4,1710,/menu/yuzu-sushi-and-robata-grill-chicago,0,$11-30,(312) 666-4100,955,433,171,78,73,1751 W Chicago Ave,Chicago,IL,60622,US,"{Japanese,Sushi Bars}","{tuna poke,korean bbq short ribs,pork shoulder,jumbo rolls,dragon roll,river walk roll,beef short rib,boy meets world roll,rainbow roll,super white tuna}","{""2016"": [[0, 4], [1, 4.5], [2, 4.5], [3, 4], [4, 4.5], [5, 4], [6, 4.5], [7, 4], [8, 4.5], [9, 4], [10, 4], [11, 4]], ""2017"": [[0, 4], [1, 4], [2, 4.5], [3, 4], [4, 4], [5, 4.5], [6, 4.5], [7, 3.5], [8, 4], [9, 3.5], [10, 3.5], [11, 3.5]], ""2018"": [[0, 4], [1, 4.5], [2, 4], [3, 4], [4, 4], [5, 4.5], [6, 4], [7, 4.5], [8, 4.5], [9, 4.5], [10, 4.5], [11, 4]], ""2019"": [[0, 4.5], [1, 4.5], [2, 4.5], [3, 4], [4, 4], [5, 4.5], [6, 4.5], [7, 4.5], [8, 4.5], [9, 4.5], [10, 4.5], [11, 4.5]], ""2020"": [[0, 4], [1, 4], [2, 4], [3, 3.5], [4, 4.5], [5, 4.5], [6, 3.5], [7, 3.5], [8, 4], [9, 4]]}"
kj1p6NwUGROOoqNySf0I1Q,Yupha’s Thai Kitchen,/biz/yuphas-thai-kitchen-tempe-2,"Phoenix, AZ",0,2004,4,765,/menu/yuphas-thai-kitchen-tempe-2,1,$11-30,(480) 839-0576,404,211,65,44,41,1805 E Elliot Rd,Tempe,AZ,85284,US,{Thai},"{pad thai,drunken noodles,drunken noodle with protein lunch,red curry,yellow curry,green curry,pad see ew,panang curry,papaya salad,thai fried rice}","{""2016"": [[0, 4], [1, 3], [2, 4], [3, 5], [4, 5], [5, 4.5], [6, 4.5], [7, 4], [8, 3.5], [9, 4], [10, 4.5], [11, 4.5]], ""2017"": [[0, 4], [1, 4], [2, 3.5], [3, 4], [4, 4], [5, 4], [6, 4], [7, 4], [8, 4], [9, 4.5], [10, 4], [11, 4]], ""2018"": [[0, 4], [1, 4], [2, 4], [3, 4], [4, 4], [5, 4], [6, 4], [7, 4.5], [8, 4], [9, 4.5], [10, 4], [11, 3.5]], ""2019"": [[0, 3.5], [1, 4], [2, 4.5], [3, 4.5], [4, 4.5], [5, 4], [6, 4.5], [7, 4.5], [8, 4.5], [9, 4.5], [10, 4.5], [11, 4.5]], ""2020"": [[0, 3.5], [1, 4.5], [2, 4.5], [3, 5], [4, 5], [5, 5], [6, 5], [7, 4.5], [8, 4], [9, 4]]}"
AWfz3Pte-rtbsjMnWJBb5A,Yummy Yummy Noodles,/biz/yummy-yummy-noodles-chicago,"Chicago, IL",0,,4,181,/menu/yummy-yummy-noodles-chicago,0,Under $10,(312) 842-9880,102,39,20,9,11,2334 S Wentworth,Chicago,IL,60616,US,"{Chinese,Noodles}","{beef brisket noodle soup,turnip beef tendon pot,fish balls noodle soup,shrimp wonton noodle soup,stir fried fish fillet with chives,orange chicken,seafood with japanese tofu,potstickers,beef chow mein,crab rangoon}","{""2016"": [[0, 4.5], [1, 4.5], [2, 4.5], [3, 4.5], [4, 4.5], [5, 4], [6, 4], [7, 4], [8, 4], [9, 4], [10, 4.5], [11, 4.5]], ""2017"": [[0, 4.5], [1, 4.5], [2, 4.5], [3, 4.5], [4, 4], [5, 3.5], [6, 4], [7, 4], [8, 4], [9, 4], [10, 4], [11, 4.5]], ""2018"": [[0, 4.5], [1, 4.5], [2, 4.5], [3, 4], [4, 4], [5, 4], [6, 3.5], [7, 3.5], [8, 4], [9, 4], [10, 4], [11, 4.5]], ""2019"": [[0, 4.5], [1, 4.5], [2, 4.5], [3, 4.5], [4, 4], [5, 4.5], [6, 4.5], [7, 3.5], [8, 3], [9, 3], [10, 3.5], [11, 4]], ""2020"": [[0, 4], [1, 4.5], [2, 4.5], [3, 4.5], [4, 4], [5, 4], [6, 4], [7, 4], [8, 4.5], [9, 4.5]]}"
MhnihE0alud0ereVInSt8Q,Yummy Yummy Chinese Restaurant,/biz/yummy-yummy-chinese-restaurant-scottsdale,"Phoenix, AZ",0,,3,224,/menu/yummy-yummy-chinese-restaurant-scottsdale,1,Under $10,(480) 946-8881,56,54,22,25,67,2765 N Scottsdale Rd,Scottsdale,AZ,85257,US,{Chinese},"{orange chicken,crab rangoon,sesame chicken,hot and sour soup qt,kung pao chicken,general tso's chicken,triple delight}","{""2016"": [[0, 3], [1, 2.5], [2, 3], [3, 2.5], [4, 2], [5, 2], [6, 2], [7, 2.5], [8, 2.5], [9, 2.5], [10, 2.5], [11, 2.5]], ""2017"": [[0, 2.5], [1, 3], [2, 3], [3, 3], [4, 3], [5, 3.5], [6, 2.5], [7, 2.5], [8, 2.5], [9, 3.5], [10, 3], [11, 3]], ""2018"": [[0, 3], [1, 3], [2, 3.5], [3, 3.5], [4, 3.5], [5, 3.5], [6, 4], [7, 2.5], [8, 2.5], [9, 2.5], [10, 2.5], [11, 2.5]], ""2019"": [[0, 3], [1, 3.5], [2, 3.5], [3, 3], [4, 3.5], [5, 3.5], [6, 2.5], [7, 2.5], [8, 3], [9, 3], [10, 3], [11, 3.5]], ""2020"": [[0, 3.5], [1, 3.5], [2, 3.5], [3, 3], [4, 3.5], [5, 3.5], [6, 3.5], [7, 3.5], [8, 3.5], [9, 3.5]]}"
c-33j2eSYNCppwBVLUFpzg,Yummy Yummy Asian Cuisine,/biz/yummy-yummy-asian-cuisine-chicago,"Chicago, IL",0,,4,653,/menu/yummy-yummy-asian-cuisine-chicago,0,$11-30,(773) 525-6677,270,205,76,42,61,2901 N Broadway St,Chicago,IL,60657,US,"{Chinese,Juice Bars & Smoothies}","{orange chicken,crab rangoon,vegetarian hot and sour soup,sesame chicken,mongolian seitan,wonton soup,chicken fried rice,mongolian beef,crispy sesame beef,chow fun}","{""2016"": [[0, 4], [1, 4], [2, 4], [3, 3.5], [4, 3.5], [5, 4], [6, 4], [7, 4], [8, 4.5], [9, 4.5], [10, 4.5], [11, 4.5]], ""2017"": [[0, 4.5], [1, 4.5], [2, 4.5], [3, 4], [4, 3.5], [5, 3.5], [6, 3.5], [7, 4], [8, 3.5], [9, 3.5], [10, 3.5], [11, 3]], ""2018"": [[0, 2.5], [1, 4], [2, 4], [3, 4], [4, 4], [5, 4], [6, 4], [7, 4], [8, 3.5], [9, 3.5], [10, 3.5], [11, 3.5]], ""2019"": [[0, 4], [1, 3.5], [2, 3], [3, 3.5], [4, 3.5], [5, 3.5], [6, 3.5], [7, 4], [8, 4], [9, 4], [10, 4], [11, 3.5]], ""2020"": [[0, 3.5], [1, 3.5], [2, 4.5], [3, 4.5], [4, 4.5], [5, 5], [6, 5], [7, 5], [8, 5], [9, 5]]}"
PZv-i2kxrueX1uK2qaM5tw,Yoshi’s,/biz/yoshis-phoenix,"Phoenix, AZ",0,,3.5,67,/menu/yoshis-phoenix,1,Under $10,(602) 468-9737,17,16,20,5,9,4102 N 24th St,Phoenix,AZ,85016,US,{Japanese},"{teriyaki chicken bowl,viva caliente bowl,shrimp tempura udon soup}","{""2016"": [[0, 2.5], [1, 2.5], [2, 3], [3, 3], [4, 3.5], [5, 3.5], [6, 3.5], [7, 3.5], [8, 4], [9, 4], [10, 4], [11, 4]], ""2017"": [[0, 4], [1, 4], [2, 4.5], [3, 4.5], [4, 4], [5, 4], [6, 4], [7, 3.5], [8, 3.5], [9, 3.5], [10, 3.5], [11, 3.5]], ""2018"": [[0, 3.5], [1, 3.5], [2, 3.5], [3, 3.5], [4, 3.5], [5, 3.5], [6, 3.5], [7, 3.5], [8, 3.5], [9, 3.5], [10, 3.5], [11, 3.5]], ""2019"": [[0, 3.5], [1, 3.5], [2, 4], [3, 4], [4, 4], [5, 4], [6, 4.5], [7, 4.5], [8, 4.5], [9, 4.5], [10, 4.5], [11, 4.5]], ""2020"": [[0, 4.5], [1, 4.5], [2, 4.5], [3, 4.5], [4, 4.5], [5, 4.5], [6, 4.5], [7, 4.5], [8, 4.5], [9, 4.5]]}"
o4MU9gK7epWUMv2WVW1qrA,Yolk - Streeterville,/biz/yolk-streeterville-chicago-2,"Chicago, IL",0,,4,2159,/menu/yolk-streeterville-chicago-2/main-menu,0,$11-30,(312) 822-9655,854,705,349,147,104,355 E Ohio St,Chicago,IL,60611,US,"{Breakfast & Brunch,American (Traditional),Coffee & Tea}","{red velvet french toast,eggs benedict,cinnamon roll french toast,nutella crepes,smoked salmon scrambler,nutella crepe,yolk all star combo,santa fe frittata,bacon waffle,pot roast benedict}","{""2016"": [[0, 4.5], [1, 4.5], [2, 4], [3, 4], [4, 4], [5, 3.5], [6, 4], [7, 4], [8, 4.5], [9, 4], [10, 4], [11, 4.5]], ""2017"": [[0, 4.5], [1, 4], [2, 4.5], [3, 4], [4, 4], [5, 4], [6, 4], [7, 4], [8, 4], [9, 3.5], [10, 4], [11, 4.5]], ""2018"": [[0, 4], [1, 4], [2, 3.5], [3, 4], [4, 4.5], [5, 4], [6, 4], [7, 4], [8, 4], [9, 4], [10, 4], [11, 3.5]], ""2019"": [[0, 4], [1, 4], [2, 4], [3, 4.5], [4, 4], [5, 4], [6, 4], [7, 3.5], [8, 4], [9, 3.5], [10, 4.5], [11, 4.5]], ""2020"": [[0, 4.5], [1, 5], [2, 5], [3, 4.5], [4, 4.5], [5, 4], [6, 3.5], [7, 3.5], [8, 4], [9, 4.5]]}"
CwPi6NVuJIZZx4IBcTekFQ,Yolk - South Loop,/biz/yolk-south-loop-chicago,"Chicago, IL",0,,4,2230,/menu/yolk-south-loop-chicago/main-menu,0,$11-30,(312) 789-9655,875,772,350,157,76,1120 S Michigan Ave,Chicago,IL,60605,US,"{Breakfast & Brunch,American (Traditional),Coffee & Tea}","{eggs benedict,red velvet french toast,nutella crepes,banana nut bread french toast,nutella crepe,cinnamon roll french toast,countryside skillet,santa fe frittata,west coast crepes,south of the border benny}","{""2016"": [[0, 4], [1, 4.5], [2, 4], [3, 3.5], [4, 4], [5, 4], [6, 4], [7, 4.5], [8, 4.5], [9, 4.5], [10, 4.5], [11, 4.5]], ""2017"": [[0, 4], [1, 4], [2, 4], [3, 4], [4, 4], [5, 4.5], [6, 4], [7, 4], [8, 4], [9, 4.5], [10, 4], [11, 4]], ""2018"": [[0, 4.5], [1, 4], [2, 4.5], [3, 4], [4, 4.5], [5, 4], [6, 4.5], [7, 4.5], [8, 4.5], [9, 4], [10, 4], [11, 4.5]], ""2019"": [[0, 3.5], [1, 5], [2, 4.5], [3, 4.5], [4, 4], [5, 4], [6, 4.5], [7, 4], [8, 4], [9, 4], [10, 4.5], [11, 4.5]], ""2020"": [[0, 4], [1, 4], [2, 4], [3, 3.5], [4, 3.5], [5, 4], [6, 4], [7, 4], [8, 4], [9, 4]]}"
IACTngt-bZGrhzflliIx7w,Yolk River North,/biz/yolk-river-north-chicago-2,"Chicago, IL",1,,4,1209,/menu/yolk-river-north-chicago-2/main-menu,0,$11-30,(312) 787-2277,427,459,206,66,51,747 N Wells,Chicago,IL,60654,US,"{Breakfast & Brunch,American (Traditional),Coffee & Tea}",{},"{""2016"": [[0, 4], [1, 3.5], [2, 4.5], [3, 3], [4, 4.5], [5, 4.5], [6, 4], [7, 4], [8, 4], [9, 4.5], [10, 4], [11, 4]], ""2017"": [[0, 4.5], [1, 4.5], [2, 4], [3, 4], [4, 4.5], [5, 4.5], [6, 3.5], [7, 4.5], [8, 3.5], [9, 4], [10, 3.5], [11, 3.5]], ""2018"": [[0, 4], [1, 4], [2, 3.5], [3, 3.5], [4, 4], [5, 3.5], [6, 3.5], [7, 4], [8, 4], [9, 4], [10, 3.5], [11, 3.5]], ""2019"": [[0, 4], [1, 4], [2, 4.5], [3, 3.5], [4, 3], [5, 4.5], [6, 4.5], [7, 4], [8, 3.5], [9, 4], [10, 3.5], [11, 4]], ""2020"": [[0, 4], [1, 4], [2, 4.5], [3, 4.5], [4, 4.5], [5, 4.5], [6, 4.5], [7, 4.5], [8, 4.5], [9, 4.5]]}"
sUDWHJCEKd6GUjhMysoUYw,Yolk Marina City,/biz/yolk-marina-city-chicago-4,"Chicago, IL",0,,4,499,/menu/yolk-marina-city-chicago-4/main-menu,0,$11-30,(855) 328-9655,250,127,72,26,24,340 N State St,Chicago,IL,60654,US,"{Breakfast & Brunch,Coffee & Tea,American (Traditional)}","{cinnamon roll french toast,eggs benedict,red velvet french toast,banana nut bread french toast,yolk all star combo,very berry french toast,nutella crepes,el torero scrambler,nutella crepe,smoked salmon scrambler}","{""2017"": [[2, 4], [3, 4], [4, 3.5], [5, 4.5], [6, 3.5], [7, 4], [8, 3.5], [9, 3.5], [10, 4.5], [11, 4]], ""2018"": [[0, 4], [1, 4], [2, 4.5], [3, 4.5], [4, 4.5], [5, 4], [6, 3.5], [7, 4], [8, 4], [9, 4.5], [10, 4.5], [11, 4.5]], ""2019"": [[0, 4.5], [1, 4.5], [2, 4.5], [3, 4], [4, 4.5], [5, 4.5], [6, 4.5], [7, 4], [8, 4], [9, 3.5], [10, 3.5], [11, 4.5]], ""2020"": [[0, 4.5], [1, 4], [2, 4.5], [3, 4.5], [4, 4.5], [5, 4.5], [6, 4.5], [7, 4.5], [8, 4], [9, 4]]}"
KJJwE2gZ1ByGN55cIHxdkA,Yogis Grill,/biz/yogis-grill-phoenix-9,"Phoenix, AZ",0,2018,2.5,70,/menu/yogis-grill-phoenix-9,1,,(602) 264-9644,20,6,3,8,33,2156 E Baseline Rd,Phoenix,AZ,85042,US,{Japanese},"{chicken teriyaki bowl,chicken yakisoba,caterpillar roll,crazy tuna roll,tuna roll}","{""2019"": [[0, 3], [1, 2.5], [2, 2.5], [3, 3], [4, 2.5], [5, 3], [6, 4], [7, 3], [8, 2], [9, 2], [10, 2], [11, 1.5]], ""2020"": [[0, 2], [1, 2.5], [2, 2.5], [3, 2.5], [4, 2], [5, 2], [6, 2], [7, 2], [8, 2.5], [9, 2.5]]}"
